Blur,Brightness,Contrast,Rotation,Scaling,Shearing,Translation
B3-7,20,2.5,-10,90,VS:0.7,80
B2-9,40,1.5,-10,50,VS:0.7,90
B1-3,10,3,30,70,VS:0.7,100
B1-9,100,3,20,60,VS:0.8,-100
B2-3,10,0.5,30,70,VS:0.8,-90
B2-5,20,1.5,-30,80,VS:0.8,-80
B2-7,40,2,-10,90,VS:0.8,-70
B2-9,50,2.5,0,100,VS:0.8,-60
B3-3,60,1,10,110,VS:0.8,-50
B3-5,70,0.5,-20,120,VS:0.8,-40
B3-7,90,1,10,130,VS:0.8,-30
B3-9,30,1,-10,140,VS:0.8,-20
B1-3,80,3,10,150,VS:0.8,-10
B1-5,50,1,0,50,VS:0.8,0
B1-7,40,3,-20,120,VS:0.8,10
B2-5,40,0.5,-30,90,VS:0.8,20
B2-9,30,3,20,80,VS:0.8,30
B3-5,40,1,-30,60,VS:0.8,40
B2-3,60,1.5,-10,60,VS:0.8,50
B1-5,90,3,-10,130,VS:0.8,60
B3-3,10,0.5,0,140,VS:0.8,70
B2-3,20,3,0,120,VS:0.8,80
B3-5,80,0.5,-10,140,VS:0.8,90
B3-3,90,3,20,50,VS:0.8,100
B1-9,100,3,-10,60,VS:0.9,-100
B2-3,10,0.5,20,70,VS:0.9,-90
B2-5,20,1.5,30,80,VS:0.9,-80
B2-7,40,2,-30,90,VS:0.9,-70
B2-9,50,2.5,-20,100,VS:0.9,-60
B3-3,60,1,0,110,VS:0.9,-50
B3-5,70,1,10,120,VS:0.9,-40
B3-7,90,3,20,130,VS:0.9,-30
B3-9,30,2.5,-10,140,VS:0.9,-20
B1-3,80,0.5,10,150,VS:0.9,-10
B1-5,80,3,-20,50,VS:0.9,0
B1-7,80,1.5,10,70,VS:0.9,10
B2-7,20,3,-20,110,VS:0.9,20
B1-9,20,2.5,-30,80,VS:0.9,30
B1-3,30,2,-30,150,VS:0.9,40
B3-9,60,2.5,-10,140,VS:0.9,50
B2-9,90,1.5,-30,140,VS:0.9,60
B1-7,50,3,30,100,VS:0.9,70
B3-9,70,0.5,10,60,VS:0.9,80
B3-5,10,0.5,10,120,VS:0.9,90
B1-7,40,1,10,130,VS:0.9,100
B1-9,100,3,20,60,VS:1.0,-100
B2-3,10,0.5,30,70,VS:1.0,-90
B2-5,20,1.5,-30,80,VS:1.0,-80
B2-7,40,2,-10,90,VS:1.0,-70
B2-9,50,2.5,0,100,VS:1.0,-60
B3-3,60,1,10,110,VS:1.0,-50
B3-5,70,1.5,-20,120,VS:1.0,-40
B3-7,90,2,-30,130,VS:1.0,-30
B3-9,30,0.5,-10,140,VS:1.0,-20
B1-3,80,2.5,30,150,VS:1.0,-10
B1-5,80,0.5,-20,50,VS:1.0,0
B1-7,60,2.5,30,90,VS:1.0,10
B3-7,40,3,20,70,VS:1.0,20
B1-7,90,1.5,30,100,VS:1.0,30
B1-5,90,1.5,-10,140,VS:1.0,40
B3-3,20,2,30,100,VS:1.0,50
B1-7,40,2,10,60,VS:1.0,60
B3-9,60,3,10,120,VS:1.0,70
B3-3,40,0.5,20,150,VS:1.0,80
B3-9,30,2,20,90,VS:1.0,90
B1-3,70,0.5,-20,80,VS:1.0,100
B1-5,50,1.5,-10,130,VS:0.0,-40
